epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8974,1.41751,3.83293,1.47599,0.01919,0.5697,0.17577,0.13412,1.24976,3.74206,1.38827,7.777e-05,7.777e-05,7.777e-05
2,78.4558,1.33843,3.33305,1.34506,0.0161,0.61889,0.2315,0.18613,1.2558,3.56231,1.32489,0.000161151,0.000161151,0.000161151
3,115.661,1.30843,2.71985,1.28838,0.01797,0.7404,0.32523,0.24223,1.23594,3.36681,1.21308,0.000238665,0.000238665,0.000238665
4,152.321,1.30981,2.22595,1.2806,0.0214,0.85777,0.47085,0.34101,1.27738,3.16331,1.20489,0.000310313,0.000310313,0.000310313
5,189.336,1.23789,1.92643,1.24101,0.83182,0.29606,0.57625,0.39563,1.34277,3.00041,1.27815,0.000376096,0.000376096,0.000376096
6,226.623,1.28433,1.68453,1.24444,0.6528,0.56039,0.66966,0.44925,1.35033,2.7307,1.26848,0.000436012,0.000436012,0.000436012
7,263.539,1.31534,1.51244,1.26544,0.64804,0.55132,0.64516,0.42758,1.39884,2.69656,1.30878,0.000490062,0.000490062,0.000490062
8,305.443,1.26592,1.40838,1.22493,0.77015,0.47685,0.66303,0.43184,1.39771,2.59272,1.33214,0.000538246,0.000538246,0.000538246
9,345.486,1.25036,1.36017,1.23685,0.5964,0.62937,0.68241,0.46141,1.39741,2.41575,1.36562,0.000580564,0.000580564,0.000580564
10,381.883,1.21591,1.31689,1.23331,0.68012,0.62147,0.66964,0.46588,1.36161,2.4416,1.33525,0.000617016,0.000617016,0.000617016
11,417.258,1.23466,1.20677,1.19826,0.66846,0.52336,0.67113,0.46872,1.34505,2.55776,1.29738,0.000647602,0.000647602,0.000647602
12,452.175,1.16797,1.22534,1.21119,0.65223,0.61993,0.67224,0.48318,1.36569,2.28101,1.34473,0.000672322,0.000672322,0.000672322
13,487.768,1.20046,1.17922,1.22319,0.74681,0.69122,0.71933,0.50588,1.37992,2.28579,1.32195,0.000671044,0.000671044,0.000671044
14,523.316,1.19454,1.16655,1.22731,0.76635,0.64309,0.73981,0.51642,1.35236,2.4278,1.29121,0.000634381,0.000634381,0.000634381
15,559.424,1.17147,1.16045,1.2018,0.88249,0.64751,0.75208,0.51292,1.35275,2.3389,1.30313,0.000597718,0.000597718,0.000597718
16,595.138,1.13373,1.10421,1.19597,0.78767,0.71654,0.7723,0.54008,1.34861,2.1718,1.2989,0.000561055,0.000561055,0.000561055
17,630.775,1.12008,1.07739,1.17567,0.8693,0.68382,0.7763,0.54773,1.34712,2.18874,1.29391,0.000524392,0.000524392,0.000524392
18,665.758,1.13342,1.07822,1.19658,0.87967,0.70503,0.78809,0.56589,1.3346,2.11572,1.30523,0.000487729,0.000487729,0.000487729
19,704.338,1.10509,1.03496,1.16008,0.87395,0.68037,0.77617,0.56563,1.32047,2.09798,1.31214,0.000451066,0.000451066,0.000451066
20,739.304,1.16781,1.02772,1.18049,0.74972,0.73274,0.77325,0.55326,1.30721,2.11594,1.29992,0.000414403,0.000414403,0.000414403
21,773.396,1.04282,1.07262,1.13465,0.81107,0.72192,0.80456,0.57146,1.31499,2.11508,1.29616,0.00037774,0.00037774,0.00037774
22,807.03,1.0676,1.04266,1.14128,0.94142,0.67207,0.8056,0.59185,1.28161,2.04764,1.27408,0.000341077,0.000341077,0.000341077
23,841.98,1.04565,1.09267,1.14067,0.89598,0.71513,0.79568,0.59041,1.27459,2.01867,1.26958,0.000304414,0.000304414,0.000304414
24,875.708,1.0059,1.00105,1.11195,0.91899,0.7132,0.78617,0.58712,1.26694,2.06526,1.26339,0.000267751,0.000267751,0.000267751
25,910.415,1.03474,0.97971,1.12063,0.92533,0.69843,0.78538,0.58875,1.25407,2.10944,1.25388,0.000231088,0.000231088,0.000231088
26,945.026,0.97526,0.95243,1.09632,0.83303,0.73028,0.78908,0.59516,1.2445,2.10833,1.24136,0.000194425,0.000194425,0.000194425
27,979.916,0.96183,0.91995,1.08351,0.79463,0.74691,0.79275,0.60184,1.23863,2.0793,1.23306,0.000157762,0.000157762,0.000157762
28,1014.31,0.97562,0.93385,1.09702,0.87141,0.71321,0.79586,0.60549,1.23857,2.03314,1.23101,0.000121099,0.000121099,0.000121099
29,1048.9,0.97937,0.93542,1.10102,0.91223,0.72037,0.80088,0.60978,1.23672,1.9967,1.22884,8.4436e-05,8.4436e-05,8.4436e-05
30,1082.9,0.96451,0.89288,1.08867,0.94706,0.71773,0.80051,0.61021,1.23247,1.99074,1.23094,4.7773e-05,4.7773e-05,4.7773e-05
